Program,Age ,Gender,Race,Household,House income 
Childcare Swim Lessons Thurs,7,female,"White/European descent, Black/African-American (having origins in Sub-Saharan Africa), Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian),",7,"$50,001-60,000"
Childcare Swim Lessons Thurs,8,female,"White/European descent,",3,"$30,001-40,000"
 Childcare Swim Lessons Tues,12,female,"White/European descent,",3,"$90,001+"
 Childcare Swim Lessons Tues,10,female,"White/European descent,",2,"$30,001-40,000"
 Childcare Swim Lessons Wed,6,female,"White/European descent, Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian),",3,"$20,001-30,000"
 Childcare Swim Lessons Wed,7,male,"White/European descent,",4,"$90,001+"
 Childcare Swim Lessons Wed,4,male,"White/European descent,",4,"$90,001+"
 Childcare Swim Lessons Wed,5,female,"White/European descent,",3,"$40,001-50,000"
 Childcare Swim Lessons Wed,33,female,"White/European descent,",3,"$80,001-90,000"
 Childcare Swim Lessons Wed,6,female,"White/European descent,",2,"<$10,000"
Fall 1 2025 Adult Beg: Tues 4:30-5:15pm,56,male,"White/European descent,",4,"$80,001-90,000"
Fall 1 2025 Adult Beg: Tues 4:30-5:15pm,29,male,Black/African-American (having origins in Sub-Saharan Africa,4,"$50,001-60,000"
Fall 1 2025 Adult Beg: Tues 4:30-5:15pm,66,male,"White/European descent,",1,"$20,001-30,000"
Fall 1 2025 Adult Beg: Tues 4:30-5:15pm,35,male,"White/European descent,",1,"$10,001-20,000"
Fall 1 2025 Adult Beg: Tues 4:30-5:15pm,44,female,Black/African-American (having origins in Sub-Saharan Africa,2,"$50,001-60,000"
Fall 1 2025 Adult Beg: Tues 4:30-5:15pm,36,female,"White/European descent,",2,"$50,001-60,000"
Fall 1 2025 Adult Beg: Tues 4:30-5:15pm,32,female,Black/African-American (having origins in Sub-Saharan Africa,1,"<$10,000"
Fall 1 2025 Adult Beg: Tues 4:30-5:15pm,68,female,"White/European descent,",2,"$50,001-60,000"
Fall 1 2025 Adult Int: Thurs 4:30-5:15pm,35,female,"Middle Eastern/North African (including the Middle East, North Africa, and the Arab world),",2,"$80,001-90,000"
Fall 1 2025 Adult Int: Thurs 4:30-5:15pm,41,female,Black/African-American (having origins in Sub-Saharan Africa,2,"$10,001-20,000"
Fall 1 2025 Childcare (5-12) Swim Lessons Tues,5,male,Multiracial,4,"$90,001+"
Fall 1 2025 Childcare (5-12) Swim Lessons Tues,8,male,"White/European descent,",5,"$90,001+"
Fall 1 2025 Childcare (5-12) Swim Lessons Tues,5,female,"White/European descent,",5,"$90,001+"
Fall 1 2025 Companion: Wed 5:30-6:00pm,6,male,black/African-American (having origins in Sub-Saharan Africa,3,"<$10,000"
Fall 1 2025 Companion: Wed 5:30-6:00pm,11,male,Black/African-American (having origins in Sub-Saharan Africa,5,"$40,001-50,000"
Fall 1 2025 Companion: Wed 5:30-6:00pm,7,male,Black/African-American (having origins in Sub-Saharan Africa,2,"$60,001-70,000"
Fall 1 2025 Companion: Wed 5:30-6:00pm,2,male,"White/European descent,",3,"$90,001+"
Fall 1 2025 Level 1: Thurs 3:55-4:25pm,6,male,"White/European descent,",3,"$20,001-30,000"
Fall 1 2025 Level 1: Thurs 3:55-4:25pm,6,male,"Black/African-American (having origins in Sub-Saharan Africa), Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race)",4,"<$10,000"
Fall 1 2025 Level 1: Thurs 3:55-4:25pm,6,male,Black/African-American (having origins in Sub-Saharan Africa,4,"$90,001+"
Fall 1 2025 Level 1: Thurs 3:55-4:25pm,10,female,Black/African-American (having origins in Sub-Saharan Africa,3,"$20,001-30,000"
Fall 1 2025 Level 1: Thurs 4:45-5:15pm,7,male,"White/European descent,",3,"$80,001-90,000"
Fall 1 2025 Level 1: Thurs 4:45-5:15pm,8,male,Black/African-American (having origins in Sub-Saharan Africa,5,"$60,001-70,000"
Fall 1 2025 Level 1: Thurs 4:45-5:15pm,9,male,Black/African-American (having origins in Sub-Saharan Africa,2,"$10,001-20,000"
Fall 1 2025 Level 1: Thurs 4:45-5:15pm,7,male,"White/European descent,",5,"$30,001-40,000"
Fall 1 2025 Level 1: Thurs 4:45-5:15pm,8,female,"White/European descent, Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race)",3,"$70,001-80,000"
 Fall 1 2025 Level 1: Wed 4:20-4:50pm,6,female,"White/European descent,",4,"<$10,000"
 Fall 1 2025 Level 1: Wed 4:20-4:50pm,10,male,"White/European descent,",5,"$90,001+"
 Fall 1 2025 Level 1: Wed 4:20-4:50pm,6,female,"White/European descent,",4,"$70,001-80,000"
 Fall 1 2025 Level 1: Wed 4:20-4:50pm,6,female,"White/European descent, Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race), American Indian/Alaskan Native (e.g. Aboriginal Australian, First Nations, Native American, Native Hawaiian, Pacific Islander, Samoan)",4,"$90,001+"
 Fall 1 2025 Level 1: Wed 4:20-4:50pm,6,male,"White/European descent,",4,"<$10,000"
 Fall 1 2025 Level 1: Wed 4:20-4:50pm,9,male,"White/European descent,",4,"<$10,000"
Fall 1 2025 Level 1: Wed 4:55-5:25pm,8,female,Black/African-American (having origins in Sub-Saharan Africa,5,"$40,001-50,000"
Fall 1 2025 Level 1: Wed 4:55-5:25pm,6,male,Black/African-American (having origins in Sub-Saharan Africa,4,"$30,001-40,000"
Fall 1 2025 Level 1: Wed 4:55-5:25pm,7,male,Black/African-American (having origins in Sub-Saharan Africa,4,"$30,001-40,000"
Fall 1 2025 Level 1: Wed 4:55-5:25pm,8,female,"White/European descent,",5,"$90,001+"
Fall 1 2025 Level 1: Wed 4:55-5:25pm,5,female,"White/European descent,",5,"$90,001+"
Fall 1 2025 Level 1: Wed 4:55-5:25pm,7,female,"White/European descent,",3,"<$10,000"
Fall 1 2025 Level 2: Thurs 4:10-4:40pm,7,female,Multiracial,3,"$80,001-90,000"
Fall 1 2025 Level 2: Thurs 4:10-4:40pm,5,female,Black/African-American (having origins in Sub-Saharan Africa,4,"$50,001-60,000"
Fall 1 2025 Level 2: Thurs 4:10-4:40pm,7,female,"White/European descent,",4,"$90,001+"
Fall 1 2025 Level 2: Thurs 4:10-4:40pm,11,female,"White/European descent,",3,"$90,001+"
Fall 1 2025 Level 2: Tues 4:00-4:30pm,6,female,"White/European descent,",4,"$80,001-90,000"
Fall 1 2025 Level 2: Tues 4:00-4:30pm,6,female,"White/European descent,",4,"$80,001-90,000"
Fall 1 2025 Level 2: Tues 4:00-4:30pm,9,male,Black/African-American (having origins in Sub-Saharan Africa,3,"<$10,000"
Fall 1 2025 Level 2: Tues 4:00-4:30pm,7,female,Black/African-American (having origins in Sub-Saharan Africa,3,"<$10,000"
Fall 1 2025 Level 2: Tues 4:00-4:30pm,8,male,Black/African-American (having origins in Sub-Saharan Africa,5,"$40,001-50,000"
Fall 1 2025 Level 2: Tues 4:00-4:30pm,7,male,"White/European descent,",5,"$90,001+"
Fall 1 2025 Level 2: Wed 4:55-5:25pm,6,female,"White/European descent,",5,"$30,001-40,000"
Fall 1 2025 Level 2: Wed 4:55-5:25pm,9,female,"White/European descent,",4,"<$10,000"
Fall 1 2025 Level 2: Wed 4:55-5:25pm,6,male,"White/European descent,",2,"$90,001+"
